code;canonical;country;state;city;name
ABT;ABT;CAN;AB ;LACOMBE;ALBERTA DOWNS
AIK;AIK;USA;SC ;AIKEN;AIKEN
AJX;AJX;CAN;ON ;AJAX;AJAX DOWNS
AKS;AKS;USA;NE ;OMAHA;AK-SAR-BEN
ALB;ALB;USA;NM ;ALBUQUERQUE;ALBUQUERQUE
ANF;ANF;USA;KS ;ANTHONY;ANTHONY DOWNS
AP ;AP ;USA;IL ;ARLINGTON HEIGHTS;ARLINGTON
AQU;AQU;USA;NY ;OZONE PARK;AQUEDUCT
ARP;ARP;USA;CO ;AURORA;ARAPAHOE PARK
ASD;ASD;CAN;MB ;WINNIPEG;ASSINIBOIA DOWNS
ATH;ATH;USA;GA ;KINGSTON;ATLANTA
ATL;ATL;USA;NJ ;ATLANTIC CITY;ATLANTIC CITY
ATO;ATO;USA;NE ;SOUTH SIOUX CITY;ATOKAD DOWNS
AVN;AVN;USA;NY ;AVON;AVON
AZD;AZD;USA;AZ ;PRESCOTT VALLEY;ARIZONA DOWNS
BCF;BCF;USA;SD ;BROWN COUNTY;BROWN COUNTY FAIR
BEL;BEL;USA;NY ;ELMONT;BELMONT PARK
BEU;BEU;USA;OH ;GROVE CITY;BEULAH PARK
BF ;BF ;USA;MA ;BROCKTON;BROCKTON FAIR
BGD;BGD;USA;KY ;PADUCAH;BLUE GRASS DOWNS
BHP;HOL;USA;CA ;INGLEWOOD;BETFAIR HOLLYWOOD PARK
BIR;BIR;USA;AL ;BIRMINGHAM;BIRMINGHAM TURF CLUB
BKF;BKF;USA;ID ;BLACKFOOT;BLACK FOOT
BM ;BM ;USA;CA ;SAN MATEO;BAY MEADOWS
BMF;BMF;USA;CA ;SAN MATEO;BAY MEADOWS FAIR
BND;BND;USA;TX ;BANDERA;BANDERA DOWNS
BOI;BOI;USA;ID ;BOISE;LES BOIS PARK
BOW;BOW;USA;MD ;BOWIE;BOWIE
BRD;BRD;USA;OK ;SALLISAW;BLUE RIBBON DOWNS
BRN;BRN;USA;OR ;BURNS;HARNEY COUNTY FAIR
BRO;BRO;USA;NC ;RALEIGH;BROOKHILL FARM
BSR;FPX;USA;CA ;POMONA;BARRETTS RACE MEET AT FAIRPLEX
BTP;BTP;USA;OH ;CINCINNATI;BELTERRA PARK
CAM;CAM;USA;SC ;CAMDEN;CAMDEN
CAS;CAS;USA;ID ;BURLEY;CASSIA COUNTY FAIR
CBY;CBY;USA;MN ;SHAKOPEE;CANTERBURY PARK
CD ;CD ;USA;KY ;LOUISVILLE;CHURCHILL DOWNS
CHA;CHA;USA;SC ;CHARLESTON;CHARLESTON
CHL;CHL;USA;NC ;CHARLOTTE;CHARLOTTE
CLG;CLG;CAN;AB ;CALGARY;TROUT SPRINGS TRAINING CENTER
CLM;CLM;USA;NC ;CLEMMONS;CLEMMONS
CLS;CLS;USA;NE ;COLUMBUS;COLUMBUS
CMR;ELC;PR ;PR ;CANÓVANAS;CAMARERO RACE TRACK
CNL;CNL;USA;VA ;NEW KENT;COLONIAL DOWNS
CPW;CPW;USA;ND ;BELCOURT;CHIPPEWA DOWNS
CRC;CRC;USA;FL ;MIAMI;CALDER RACE COURSE
CT ;CT ;USA;WV ;CHARLES TOWN;HOLLYWOOD CASINO AT CHARLES TOWN RACES
CTD;CTD;CAN;AB ;ROCKY VIEW COUNTY;CENTURY DOWNS
CTM;CTM;CAN;AB ;EDMONTON;CENTURY MILE
CWF;CWF;USA;WY ;CASPER;CENTRAL WYOMING FAIR
DAY;DAY;USA;WA ;DAYTON;DAYTON
DED;DED;USA;LA ;VINTON;DELTA DOWNS
DEL;DEL;USA;DE ;WILMINGTON;DELAWARE PARK
DEP;DEP;CAN;BC ;OSOYOOS;DESERT PARK
DET;DET;USA;MI ;LIVONIA;DETROIT RACE COURSE
DG ;DG ;USA;AZ ;DOUGLAS;COCHISE COUNTY FAIR @ DOUGLAS
DIX;DIX;USA;UT ;ST. GEORGE;DIXIE DOWNS
DMR;DMR;USA;CA ;DEL MAR;DEL MAR
DUE;DUE;USA;KY ;FRANKLIN;DUELING GROUNDS
DUN;DUN;USA;AZ ;DUNCAN;GREENELEE COUNTY FAIR @ DUNCAN
DXD;DXD;USA;UT ;ST. GEORGE;DIXIE DOWNS
ED ;ED ;USA;WY ;GILLETTE;ENERGY DOWNS
ELC;ELC;PR ;PR ;CANÓVANAS;EL COMANDANTE
ELK;ELK;USA;NV ;ELKO;ELKO COUNTY FAIR
ELP;ELP;USA;KY ;HENDERSON;ELLIS PARK
ELY;ELY;USA;NV ;ELY;WHITE PINE RACING
EMD;EMD;USA;WA ;AUBURN;EMERALD DOWNS
EMT;EMT;USA;ID ;EMMETT;EMMETT
EP ;EP ;CAN;BC ;VANCOUVER;EXHIBITION PARK
EUR;EUR;USA;KS ;EUREKA;EUREKA
EVD;EVD;USA;LA ;OPELOUSAS;EVANGELINE DOWNS
FAI;FAI;USA;MD ;FAIR HILL;FAIR HILL
FAR;FAR;USA;ND ;FARGO;NORTH DAKOTA HORSE PARK
FAX;FAX;USA;VA ;LEESBURG;FAIRFAX
